classwise_nll_away,classwise_nll_draw,classwise_nll_home,draw_nll,draw_rank1_count,draw_rank2_count,draw_rank3_count,draw_recall_argmax,draw_top2,draw_underpricing,ece,mean_draw_margin_to_top,mean_p_draw_all,mean_p_draw_true_draw,n_matches,overall_logloss,segment_type,segment_value,true_draw_rate
1.2308355569839478,0.9225616455078125,1.1627951860427856,0.9225616455078125,76,0,0,1.0,1.0,-0.17262692749500275,0.17262692002907487,0.0,0.3963111340999603,0.39754176139831543,76,1.1269642114639282,earliest_event_minutes_bin,earliest_early,0.22368420660495758
1.2158291339874268,0.9267694354057312,1.1810598373413086,0.9267694354057312,15,0,0,1.0,1.0,-0.19674338400363922,0.19674338711577355,0.0,0.39674338698387146,0.39583122730255127,15,1.1464273929595947,earliest_event_minutes_bin,earliest_late,0.20000000298023224
0.0,0.0,1.1771955490112305,0.0,4,0,0,0.0,0.0,-0.39973387122154236,0.39973387122154236,0.0,0.39973387122154236,0.0,4,1.1771955490112305,earliest_event_minutes_bin,earliest_prev_day,0.0
1.2006300687789917,0.9421684741973877,1.1694138050079346,0.9421684741973877,33,0,0,1.0,1.0,-0.33009952306747437,0.3300995193586962,0.0,0.39070558547973633,0.38978272676467896,33,1.1669926643371582,earliest_event_minutes_bin,earliest_same_day,0.06060606241226196
1.2323698997497559,0.9003540277481079,1.1553648710250854,0.9003540277481079,11,0,0,1.0,1.0,-0.2147108018398285,0.2839273561497784,0.0,0.3965289890766144,0.4064388871192932,11,1.123000144958496,event_count_bin,events_high,0.1818181872367859
1.209574580192566,0.9421684741973877,1.17019784450531,0.9421684741973877,37,0,0,1.0,1.0,-0.33861952647566795,0.33861953305192927,0.0,0.3926735818386078,0.38978272676467896,37,1.1727713346481323,event_count_bin,events_low,0.054054055362939835
1.2305123805999756,0.9255225658416748,1.1635982990264893,0.9255225658416748,60,0,0,1.0,1.0,-0.14625543355941772,0.14625542655839752,0.0,0.3962554335594177,0.3963554799556732,60,1.1219232082366943,event_count_bin,events_mid,0.25
1.2068707942962646,0.9267694354057312,1.1775891780853271,0.9267694354057312,20,0,0,1.0,1.0,-0.24484747648239136,0.24484747992175604,0.0,0.39484748244285583,0.39583122730255127,20,1.1502147912979126,event_count_bin,events_very_low,0.15000000596046448
1.2182525396347046,0.932204008102417,1.1730906963348389,0.932204008102417,16,0,0,1.0,1.0,-0.019005537033081055,0.031254395842552185,0.0,0.39400553703308105,0.39370036125183105,16,1.0912259817123413,favorite_strength_bin,fav_balanced,0.375
1.2121528387069702,0.9128276109695435,1.1601252555847168,0.9128276109695435,36,0,0,1.0,1.0,-0.25513535737991333,0.3088436689037639,0.0,0.3940242528915405,0.40144267678260803,36,1.141675591468811,favorite_strength_bin,fav_clear,0.1388888955116272
1.2213661670684814,0.9150387644767761,1.1681139469146729,0.9150387644767761,21,0,0,1.0,1.0,-0.20482997596263885,0.28042397100158345,0.0,0.39530616998672485,0.40051034092903137,21,1.137660026550293,favorite_strength_bin,fav_mild,0.190476194024086
1.222059726715088,0.9329536557197571,1.169555902481079,0.9329536557197571,55,0,0,1.0,1.0,-0.2685931921005249,0.2685931797227381,0.0,0.39586591720581055,0.39340177178382874,55,1.1566259860992432,favorite_strength_bin,fav_strong,0.12727272510528564
1.2103323936462402,0.9339329600334167,1.1603457927703857,0.9339329600334167,33,0,0,1.0,1.0,-0.21073251962661743,0.21073248526740418,0.0,0.3925507068634033,0.3930172920227051,33,1.14795982837677,home_away_edge_bin,away_edge,0.1818181872367859
1.2315056324005127,0.9186239242553711,1.171744465827942,0.9186239242553711,11,0,0,1.0,1.0,-0.3034827411174774,0.3034827411174774,0.0,0.39439183473587036,0.39906781911849976,11,1.1704648733139038,home_away_edge_bin,away_lean,0.09090909361839294
1.2209904193878174,0.9300877451896667,1.1730906963348389,0.9300877451896667,12,0,0,1.0,1.0,-0.14454135298728943,0.14454136135953166,0.0,0.39454135298728943,0.3945229947566986,12,1.1203233003616333,home_away_edge_bin,balanced,0.25
1.2334442138671875,0.9152025580406189,1.1669570207595825,0.9152025580406189,60,0,0,1.0,1.0,-0.29669078439474106,0.2966907510168575,0.0,0.3966907858848572,0.4004869759082794,60,1.152862787246704,home_away_edge_bin,home_edge,0.10000000149011612
1.2090795040130615,0.9240819811820984,1.155489206314087,0.9240819811820984,12,0,0,1.0,1.0,0.10545077919960022,0.10545081182564608,0.0,0.3945492208003998,0.39693447947502136,12,1.05764901638031,home_away_edge_bin,home_lean,0.5
1.213947057723999,0.9348903894424438,1.1651791334152222,0.9348903894424438,18,0,0,1.0,1.0,-0.17045380175113678,0.17045383004540737,0.0,0.3926760256290436,0.39265069365501404,18,1.1329690217971802,implied_draw_prior_bin,draw_high,0.2222222238779068
1.227758526802063,0.9281777143478394,1.1709843873977661,0.9281777143478394,34,0,0,1.0,1.0,-0.33789530023932457,0.3378953123598132,0.0,0.396718829870224,0.3952733874320984,34,1.178409457206726,implied_draw_prior_bin,draw_low,0.05882352963089943
1.2145572900772095,0.9220172166824341,1.1652926206588745,0.9220172166824341,76,0,0,1.0,1.0,-0.18429481983184814,0.18827723019125386,0.0,0.3948211371898651,0.39775750041007996,76,1.1263930797576904,implied_draw_prior_bin,draw_mid,0.21052631735801697
1.1952009201049805,0.0,1.1765527725219727,0.0,8,0,0,0.0,0.0,-0.389580637216568,0.3895806074142456,0.0,0.389580637216568,0.0,8,1.1812148094177246,latest_event_minutes_bin,latest_4h,0.0
1.2277621030807495,0.9241619110107422,1.164942741394043,0.9241619110107422,90,0,0,1.0,1.0,-0.18496541678905487,0.1849653639549238,0.0,0.3960765302181244,0.396907240152359,90,1.1301651000976562,latest_event_minutes_bin,latest_closing,0.21111111342906952
1.207581877708435,0.9297056198120117,1.1696451902389526,0.9297056198120117,30,0,0,1.0,1.0,-0.29331623762845993,0.2933162058648522,0.0,0.39331623911857605,0.394677072763443,30,1.1633551120758057,latest_event_minutes_bin,latest_hour,0.10000000149011612
1.2306320667266846,0.9201682209968567,1.1617109775543213,0.9201682209968567,67,0,0,1.0,1.0,-0.18739548325538635,0.18739546203852342,0.0,0.3963507115840912,0.39849597215652466,67,1.1307841539382935,league,epl,0.20895522832870483
1.20622980594635,0.9329290390014648,1.1726051568984985,0.9329290390014648,52,0,0,1.0,1.0,-0.2969878986477852,0.2969878913761601,0.0,0.3931417465209961,0.3934118151664734,52,1.161845326423645,league,russia,0.09615384787321091
1.234703540802002,0.9337310194969177,1.1701680421829224,0.9337310194969177,9,0,0,1.0,1.0,-0.06268331408500671,0.2939279478991992,0.0,0.3960166573524475,0.39308884739875793,9,1.0985264778137207,league,samerica_qual,0.3333333432674408
1.216168999671936,0.9249885678291321,1.165242314338684,0.9249885678291321,67,0,0,1.0,1.0,-0.2149987816810608,0.2202066913424945,0.0,0.3941032588481903,0.3965657949447632,67,1.137413740158081,odds_entropy_bin,entropy_high,0.17910447716712952
1.2392175197601318,0.0,1.171871304512024,0.0,19,0,0,0.0,0.0,-0.39783036708831787,0.39783039147022237,0.0,0.39783036708831787,0.0,19,1.1825050115585327,odds_entropy_bin,entropy_low,0.0
1.2183780670166016,0.924832820892334,1.165533185005188,0.924832820892334,42,0,0,1.0,1.0,-0.15712665021419525,0.15712663251569814,0.0,0.39522188901901245,0.39664798974990845,42,1.1283549070358276,odds_entropy_bin,entropy_mid,0.2380952388048172
0.0,0.9421684741973877,1.171054482460022,0.9421684741973877,4,0,0,1.0,1.0,0.11117088794708252,0.11117088794708252,0.0,0.3888291120529175,0.38978272676467896,4,1.0566115379333496,odds_regime_bin,fav_balanced|draw_high|entropy_high|coverage_mid,0.5
0.0,0.0,1.1683510541915894,0.0,1,0,0,0.0,0.0,-0.39342182874679565,0.39342182874679565,0.0,0.39342182874679565,0.0,1,1.1683510541915894,odds_regime_bin,fav_balanced|draw_high|entropy_high|coverage_very_long,0.0
1.2200573682785034,0.9239526987075806,1.1825470924377441,0.9239526987075806,4,0,0,1.0,1.0,-0.14718633890151978,0.14718633890151978,0.0,0.3971863389015198,0.3969469368457794,4,1.127276062965393,odds_regime_bin,fav_balanced|draw_mid|entropy_high|coverage_short,0.25
1.2173500061035156,0.9283115267753601,1.1680402755737305,0.9283115267753601,7,0,0,1.0,1.0,0.03334212303161621,0.1482220795109641,0.0,0.395229309797287,0.3952299654483795,7,1.079387903213501,odds_regime_bin,fav_balanced|draw_mid|entropy_high|coverage_very_long,0.4285714328289032
1.206181526184082,0.0,0.0,0.0,2,0,0,0.0,0.0,-0.39298391342163086,0.39298391342163086,0.0,0.39298391342163086,0.0,2,1.206181526184082,odds_regime_bin,fav_clear|draw_high|entropy_high|coverage_short,0.0
0.0,0.9380868077278137,1.1579673290252686,0.9380868077278137,4,0,0,1.0,1.0,-0.14192867279052734,0.14192867279052734,0.0,0.39192867279052734,0.39137589931488037,4,1.102997064590454,odds_regime_bin,fav_clear|draw_high|entropy_high|coverage_very_long,0.25
