close_missing_reason,earliest_available_missing_reason,earliest_event_minutes,event_count,favorite_strength,home_away_edge,latest_event_minutes,latest_pre_kickoff_missing_reason,league,match_id,odds_entropy,open_missing_reason,overround_close,overround_earliest_available,overround_latest_pre_kickoff,overround_open,q_away_close,q_away_earliest_available,q_away_latest_pre_kickoff,q_away_movement,q_away_open,q_draw_close,q_draw_earliest_available,q_draw_latest_pre_kickoff,q_draw_movement,q_draw_open,q_home_close,q_home_earliest_available,q_home_latest_pre_kickoff,q_home_movement,q_home_open,season,time_span_minutes,valid_pre_kickoff_euro_count,y_true
,,1683.0,5,0.7583093967993435,-0.7583093967993435,1.0,,world_cup,world_cup_1127595,0.5862152265306784,,1.068859649122807,1.071592775041051,1.068859649122807,1.071592775041051,0.8206811653672549,0.8044744100520993,0.8206811653672549,0.016206755315155585,0.8044744100520993,0.11694706606483381,0.13331290223720502,0.11694706606483381,-0.01636583617237121,0.13331290223720502,0.062371768567911365,0.06221268771069567,0.062371768567911365,0.0001590808572156932,0.06221268771069567,2015,1682.0,5,2
,,1290.0,3,0.7613435474366529,-0.7613435474366529,247.0,,world_cup,world_cup_1127595,0.5784682491939329,,1.1223544973544972,1.1180504856087254,1.1223544973544972,1.1180504856087254,0.8249852681202121,0.7845736786908603,0.8249852681202121,0.04041158942935186,0.7845736786908603,0.11137301119622865,0.1466252448700952,0.11137301119622865,-0.035252233673866554,0.1466252448700952,0.06364172068355922,0.06880107643904466,0.06364172068355922,-0.0051593557554854425,0.06880107643904466,2015,1043.0,3,2
,,1436.0,110,0.7451924165379966,-0.7451924165379966,1.0,,world_cup,world_cup_1127595,0.5946291769262344,,1.0800264860762268,1.0800069395761194,1.0800264860762268,1.0800069395761194,0.8193833795942024,0.7913845952103857,0.8193833795942024,0.027998784383816644,0.7913845952103857,0.1064256573495918,0.1361647024111987,0.1064256573495918,-0.029739045061606906,0.1361647024111987,0.07419096305620582,0.0724507023784156,0.07419096305620582,0.0017402606777902202,0.0724507023784156,2015,1435.0,110,2
,,2329.0,13,0.7932242961882973,-0.7932242961882973,0.0,,world_cup,world_cup_1127595,0.5372864569131633,,1.054594023545576,1.1016224188790562,1.054594023545576,1.1016224188790562,0.8391435305475583,0.8033203909492569,0.8391435305475583,0.03582313959830141,0.8033203909492569,0.11493723509318071,0.12103360556968802,0.11493723509318071,-0.0060963704765073096,0.12103360556968802,0.04591923435926106,0.07564600348105502,0.04591923435926106,-0.029726769121793957,0.07564600348105502,2015,2329.0,13,2
,,2043.0,3,0.3355866731047804,-0.3355866731047804,213.0,,world_cup,world_cup_1127596,1.0041358064981947,,1.0702842377260982,1.0696994424044608,1.0702842377260982,1.0696994424044608,0.5432158377595365,0.543512809103045,0.5432158377595365,-0.00029697134350847865,0.543512809103045,0.2491549975857074,0.25967834212701035,0.2491549975857074,-0.010523344541302965,0.25967834212701035,0.20762916465475614,0.19680884876994467,0.20762916465475614,0.010820315884811471,0.19680884876994467,2015,1830.0,3,2
,,2415.0,53,0.3028784943260449,-0.3028784943260449,4.0,,world_cup,world_cup_1127596,1.022741467511003,,1.0798256558267174,1.0799168152109329,1.0798256558267174,1.0799168152109329,0.520267091060061,0.5612104539202201,0.520267091060061,-0.040943362860159094,0.5612104539202201,0.2623443122059231,0.25722145804676755,0.2623443122059231,0.005122854159155532,0.25722145804676755,0.21738859673401606,0.18156808803301241,0.21738859673401606,0.035820508701003645,0.18156808803301241,2015,2411.0,53,2
,,2677.0,41,0.31978516522169287,-0.31978516522169287,0.0,,world_cup,world_cup_1127596,1.0143894399633622,,1.0536127516151148,1.1008403361344539,1.0536127516151148,1.1008403361344539,0.5302320202756746,0.5190839694656488,0.5302320202756746,0.011148050810025789,0.5190839694656488,0.25932112467034363,0.26717557251908397,0.25932112467034363,-0.007854447848740342,0.26717557251908397,0.21044685505398178,0.21374045801526714,0.21044685505398178,-0.0032936029612853635,0.21374045801526714,2015,2677.0,41,2
,,2523.0,10,0.65625,0.65625,53.0,,world_cup,world_cup_1127597,0.7277259541583039,,1.0666666666666667,1.0621600621600622,1.0666666666666667,1.0621600621600622,0.09375,0.10460863204096561,0.09375,-0.010858632040965613,0.10460863204096561,0.15625,0.1711777615215801,0.15625,-0.014927761521580096,0.1711777615215801,0.75,0.7242136064374541,0.75,0.025786393562545862,0.7242136064374541,2015,2470.0,10,1
,,2654.0,4,0.6121172209417188,0.6121172209417188,46.0,,world_cup,world_cup_1127597,0.7750293534318735,,1.1132697947214076,1.1162883631713556,1.1132697947214076,1.1162883631713556,0.11228185709581824,0.10539127944440466,0.11228185709581824,0.006890577651413585,0.10539127944440466,0.16331906486664471,0.1947447554950956,0.16331906486664471,-0.03142569062845088,0.1947447554950956,0.7243990780375371,0.6998639650604996,0.7243990780375371,0.024535112977037477,0.6998639650604996,2015,2608.0,4,1
,,1817.0,75,0.5954536745451955,0.5954536745451955,2.0,,world_cup,world_cup_1127597,0.7881645674279143,,1.0800057664261036,1.0799808429118773,1.0800057664261036,1.0799808429118773,0.1223145286884239,0.09977827050997784,0.1223145286884239,0.022536258178446067,0.09977827050997784,0.15991726807795664,0.16534684827367754,0.15991726807795664,-0.005429580195720901,0.16534684827367754,0.7177682032336193,0.7348748812163446,0.7177682032336193,-0.01710667798272525,0.7348748812163446,2015,1815.0,75,1
,,2475.0,20,0.6540272174642334,0.6540272174642334,0.0,,world_cup,world_cup_1127597,0.7293694362521123,,1.0505689270226746,1.1017628205128205,1.0505689270226746,1.1017628205128205,0.09547293864133062,0.11636363636363638,0.09547293864133062,-0.020890697722305757,0.11636363636363638,0.1550269052531053,0.17454545454545453,0.1550269052531053,-0.019518549292349224,0.17454545454545453,0.7495001561055641,0.7090909090909091,0.7495001561055641,0.04040924701465498,0.7090909090909091,2015,2475.0,20,1
,,3796.0,6,0.6027978623074505,0.6027978623074505,315.0,,world_cup,world_cup_1127599,0.7952827393160233,,1.0629908103592314,1.090868196131354,1.0629908103592314,1.090868196131354,0.10452687834014461,0.10185567010309278,0.10452687834014461,0.002671208237051831,0.10185567010309278,0.1881483810122603,0.19298969072164948,0.1881483810122603,-0.004841309709389174,0.19298969072164948,0.7073247406475951,0.7051546391752577,0.7073247406475951,0.002170101472337427,0.7051546391752577,2015,3481.0,6,1
,,2422.0,2,0.5770334928229665,0.5770334928229665,67.0,,world_cup,world_cup_1127599,0.8231184384692614,,1.1164529914529915,1.1167842811678428,1.1164529914529915,1.1167842811678428,0.11196172248803828,0.12266138025027877,0.11196172248803828,-0.010699657762240494,0.12266138025027877,0.1990430622009569,0.19898401685045222,0.1990430622009569,5.90453505046884e-05,0.19898401685045222,0.6889952153110047,0.678354602899269,0.6889952153110047,0.01064061241173575,0.678354602899269,2015,2355.0,2,1
,,3666.0,26,0.6097310600947428,0.6097310600947428,5.0,,world_cup,world_cup_1127599,0.791163252784611,,1.0800449883406256,1.0999461648618658,1.0800449883406256,1.0999461648618658,0.09705318210499551,0.11946588740055065,0.09705318210499551,-0.02241270529555514,0.11946588740055065,0.19616257569526635,0.22174034222394892,0.19616257569526635,-0.02557776652868257,0.22174034222394892,0.7067842421997382,0.6587937703755005,0.7067842421997382,0.04799047182423777,0.6587937703755005,2015,3661.0,26,1
,,3791.0,4,0.6061344461027688,0.6061344461027688,125.0,,world_cup,world_cup_1127599,0.7926599173127415,,1.0537955384368478,1.099949264332826,1.0537955384368478,1.099949264332826,0.10203770826353142,0.12453874538745388,0.10203770826353142,-0.022501037123922457,0.12453874538745388,0.18979013737016848,0.20202952029520296,0.18979013737016848,-0.012239382925034487,0.20202952029520296,0.7081721543663002,0.6734317343173432,0.7081721543663002,0.034740420048957055,0.6734317343173432,2015,3666.0,4,1
,,3976.0,10,0.19819481007897705,0.19819481007897705,495.0,,world_cup,world_cup_1127600,1.0638503943811566,,1.059700302885382,1.0928030303030303,1.059700302885382,1.0928030303030303,0.26212861978187285,0.3327556325823224,0.26212861978187285,-0.07062701280044953,0.3327556325823224,0.27754795035727714,0.2859618717504333,0.27754795035727714,-0.008413921393156165,0.2859618717504333,0.4603234298608499,0.38128249566724437,0.4603234298608499,0.07904093419360553,0.38128249566724437,2015,3481.0,10,1
,,3846.0,22,0.12416870520842299,0.12416870520842299,2.0,,world_cup,world_cup_1127600,1.0808215181687864,,1.0795019500278007,1.1005568608232315,1.0795019500278007,1.1005568608232315,0.2988235872598311,0.342879594865974,0.2988235872598311,-0.04405600760614292,0.342879594865974,0.27818412027191486,0.2753427049681306,0.27818412027191486,0.002841415303784234,0.2753427049681306,0.4229922924682541,0.3817777001658954,0.4229922924682541,0.04121459230235869,0.3817777001658954,2015,3844.0,22,1
,,3971.0,17,0.1589147286821705,0.1589147286821705,0.0,,world_cup,world_cup_1127600,1.074418176659456,,1.0490647872052048,1.1046568627450981,1.0490647872052048,1.1046568627450981,0.28036175710594313,0.3550033281562015,0.28036175710594313,-0.07464157105025837,0.3550033281562015,0.28036175710594313,0.28289327712447304,0.28036175710594313,-0.002531520018529909,0.28289327712447304,0.4392764857881136,0.3621033947193255,0.4392764857881136,0.07717309106878811,0.3621033947193255,2015,3971.0,17,1
,,1863.0,10,0.13385826771653547,0.13385826771653547,32.0,,world_cup,world_cup_1127601,1.0788208154107488,,1.061163101604278,1.0626780626780628,1.061163101604278,1.0626780626780628,0.29448818897637796,0.34852546916890076,0.29448818897637796,-0.054037280192522796,0.34852546916890076,0.2771653543307087,0.28954423592493295,0.2771653543307087,-0.012378881594224234,0.28954423592493295,0.42834645669291344,0.3619302949061662,0.42834645669291344,0.06641616178674725,0.3619302949061662,2015,1831.0,10,1
,,1470.0,4,0.13010181881472455,0.13010181881472455,339.0,,world_cup,world_cup_1127601,1.0792094828086003,,1.1150086116973534,1.116763565891473,1.1150086116973534,1.116763565891473,0.2969715429466539,0.3470715835140997,0.2969715429466539,-0.050100040567445825,0.3470715835140997,0.27595509529196766,0.2798264642082429,0.27595509529196766,-0.003871368916275264,0.2798264642082429,0.42707336176137844,0.37310195227765725,0.42707336176137844,0.0539714094837212,0.37310195227765725,2015,1131.0,4,1
,,2235.0,61,0.08626133691635879,0.08626133691635879,2.0,,world_cup,world_cup_1127601,1.0887037659018717,,1.0803988003472373,1.0803754955219498,1.0803988003472373,1.0803754955219498,0.31269734632180046,0.33295111903851876,0.31269734632180046,-0.0202537727167183,0.33295111903851876,0.2883439704400403,0.2892512846647131,0.2883439704400403,-0.0009073142246728283,0.2892512846647131,0.39895868323815925,0.3777975962967681,0.39895868323815925,0.021161086941391127,0.3777975962967681,2015,2233.0,61,1
,,2503.0,28,0.1132579852579853,0.1132579852579853,25.0,,world_cup,world_cup_1127601,1.0838966352277015,,1.052649002854308,1.1016682785299805,1.052649002854308,1.1016682785299805,0.3015823095823096,0.33007791067705483,0.3015823095823096,-0.02849560109474525,0.33007791067705483,0.2835773955773956,0.283660704488094,0.2835773955773956,-8.330891069840973e-05,0.283660704488094,0.4148402948402949,0.3862613848348514,0.4148402948402949,0.028578910005443492,0.3862613848348514,2015,2478.0,28,1
,,5236.0,6,0.40782122905027934,0.40782122905027934,19.0,,world_cup,world_cup_1127606,0.9608410593377792,,1.0654761904761905,1.0940709617180207,1.0654761904761905,1.0940709617180207,0.17877094972067037,0.17409857051418814,0.17877094972067037,0.0046723792064822245,0.17409857051418814,0.2346368715083799,0.22850437379987196,0.2346368715083799,0.0061324977085079335,0.22850437379987196,0.5865921787709497,0.5973970556859398,0.5865921787709497,-0.010804876914990102,0.5973970556859398,2015,5217.0,6,0
,,5106.0,31,0.3817344336906753,0.3817344336906753,3.0,,world_cup,world_cup_1127606,0.982488227137391,,1.0799711004909363,1.1001190960931513,1.0799711004909363,1.1001190960931513,0.1794478107092918,0.17281226106902062,0.1794478107092918,0.006635549640271188,0.17281226106902062,0.2593699448907411,0.23307499826232014,0.2593699448907411,0.026294946628420968,0.23307499826232014,0.5611822443999671,0.5941127406686592,0.5611822443999671,-0.032930496268692044,0.5941127406686592,2015,5103.0,31,0
,,5226.0,13,0.39015429831006615,0.39015429831006615,17.0,,world_cup,world_cup_1127606,0.9739472008489506,,1.0511275872721657,1.1009799814353893,1.0511275872721657,1.1009799814353893,0.18295371050698012,0.17809445646497057,0.18295371050698012,0.004859254042009542,0.17809445646497057,0.24393828067597356,0.2359173319406103,0.24393828067597356,0.00802094873536327,0.2359173319406103,0.5731080088170463,0.5859882115944192,0.5731080088170463,-0.012880202777372896,0.5859882115944192,2015,5209.0,13,0
